Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: 0.02
Paralogs removed for each sample:
Sample	threshold	#removed	names
S0552sl 	0.01556	74	5200, 5168, 5502, 5348, 7141, 6412, 6487, 5913, 7111, 5220, 5163, 5477, 5733, 6667, 7135, 6550, 5634, 6198, 6565, 6119, 6713, 5968, 6557, 5943, 5620, 6947, 5554, 5426, 6782, 5721, 7128, 6572, 1G06440, 1G21640, 1G49040, 1G60995, 1G63160, 1G66830, 1G72280, 1G73960, 1G75200, 1G80460, 2G15620, 2G17020, 2G25660, 2G39830, 2G40070, 2G40760, 2G47020, 3G06530, 3G09650, 3G11960, 3G17810, 3G17830, 3G17900, 3G51470, 3G52200, 4G02460, 4G10020, 4G10950, 4G20070, 4G33210, 5G01360, 5G04930, 5G05680, 5G06940, 5G13420, 5G36890, 5G40740, 5G48270, 5G48800, 5G49430, 5G54260, 5G65500
S0555 	0.04763	8	5921, 7028, 6792, 1G21640, 2G04660, 4G02730, 5G58510, 5G60450
S0558 	0.00407	13	6848, 4744, 6864, 6494, 6128, 6785, 6488, 1G02970, 1G04970, 2G25730, 3G27730, 5G04710, 5G41800
S0560 	0.04904	14	6639, 5335, 5513, 5123, 5926, 1G20560, 1G65320, 1G80350, 2G17510, 2G38770, 2G47600, 3G06920, 3G12590, 5G63770
S0562 	0.08953	3	2G26170, 3G14470, 5G46070
S0577 	0.02367	20	5670, 6462, 5343, 7333, 1G10330, 1G76400, 2G01070, 2G40760, 3G06880, 3G14910, 3G17810, 3G19553, 4G30720, 4G34850, 5G08660, 5G11560, 5G14510, 5G15880, 5G51200, 5G51750
S0583 	0.04541	3	5304, 4G04350, 5G65950
S0590 	0.06378	0	
S0591 	0.02409	1	
S0593 	0.07844	0	
S0612 	0.0289	20	6487, 5406, 1G49820, 1G50200, 1G73990, 1G77405, 2G18760, 2G38000, 2G40760, 3G06530, 3G15550, 4G15420, 4G23540, 4G23940, 5G11330, 5G22030, 5G22800, 5G22850, 5G46220, 5G58940
S0613sl 	0.03363	18	5664, 5131, 5477, 5733, 6000, 6565, 5918, 6119, 6538, 6636, 6746, 1G04970, 1G09900, 1G65380, 4G14940, 4G32910, 5G23880, 5G53480
S0616 	0.01087	21	6487, 5264, 6689, 6977, 7577, 4796, 6883, 5791, 1G06590, 1G20560, 1G25500, 1G68830, 2G31970, 3G01100, 4G34310, 4G34850, 5G19130, 5G20170, 5G22260, 5G48800, 5G51340
S0617 	0.13471	1	
S0620 	0.01971	11	5273, 5849, 6029, 1G68740, 3G08960, 3G21420, 4G18340, 4G30790, 5G22260, 5G51690, 5G53480
S0624 	0.02426	27	5770, 6406, 6404, 5990, 6265, 6531, 6041, 6713, 4989, 6448, 6792, 6507, 5406, 1G57770, 1G78280, 2G30520, 2G40190, 3G09650, 4G00740, 4G01037, 4G04640, 4G33210, 5G11380, 5G13420, 5G13690, 5G40440, 5G65990
S0641 	0.00618	14	5614, 5870, 6050, 6825, 5980, 7577, 1G15980, 1G33410, 1G55480, 3G48425, 3G52940, 4G35870, 5G22850, 5G58230
S0642 	0.01547	21	6620, 6376, 6652, 6216, 7572, 4802, 6689, 6139, 6128, 6462, 6913, 7013, 5531, 6544, 6448, 1G52520, 2G31530, 3G09650, 3G44880, 5G15540, 5G58510
S0643 	0.01259	62	6992, 6412, 6048, 6492, 6050, 6528, 4527, 5264, 5894, 7135, 6226, 6565, 5620, 5428, 5656, 5853, 5528, 6284, 5426, 6954, 5406, 6295, 1G02420, 1G06560, 1G09340, 1G30000, 1G49820, 1G51550, 2G07360, 2G15620, 2G23140, 2G26170, 2G32900, 2G35610, 2G35720, 2G39730, 2G41700, 3G01100, 3G01670, 3G15550, 3G17900, 3G19180, 3G27820, 3G55160, 3G60830, 4G02260, 4G03260, 4G04350, 4G20090, 4G23940, 4G27640, 4G29010, 4G34850, 5G02480, 5G13030, 5G22850, 5G40480, 5G40740, 5G48800, 5G51540, 5G54260, 5G54830
S0645sl 	0.00779	38	5489, 5670, 5921, 5599, 6859, 5477, 6298, 5335, 6533, 6462, 7021, 5791, 6448, 6947, 5406, 5257, 1G06560, 1G12470, 1G29690, 1G49040, 1G79150, 2G02560, 2G40190, 3G06810, 3G07420, 3G17810, 3G56370, 4G04970, 4G08150, 4G16660, 4G24740, 5G16280, 5G22030, 5G22510, 5G35410, 5G39500, 5G51690, 5G60450
S0647-2 	0.04188	0	
S0654 	0.03802	13	6955, 6488, 5554, 6175, 1G79560, 2G16440, 3G22170, 3G23020, 5G19130, 5G20990, 5G40480, 5G46100, 5G47010
S0655sl 	0.06387	4	5280, 4954, 1G01770, 2G13540
S0656sl 	0.0171	44	6487, 6859, 5733, 6893, 6660, 5821, 5842, 5594, 5922, 6649, 7024, 6552, 5843, 5943, 5531, 5354, 5721, 1G09010, 1G09870, 1G19025, 1G24706, 1G29690, 1G30010, 1G68930, 1G79560, 3G09090, 3G11460, 3G27670, 3G57300, 3G57610, 4G01570, 4G16660, 4G28080, 4G31200, 4G33440, 5G05200, 5G06970, 5G13640, 5G14450, 5G18525, 5G19730, 5G22750, 5G44000, 5G47780
S0657 	0.06071	11	4932, 6528, 5974, 6717, 1G53270, 2G15620, 2G28780, 3G07080, 4G20090, 4G36390, 5G60790
S0660sl 	0.03327	9	5038, 5339, 6859, 5840, 6378, 1G61850, 1G65840, 2G20050, 5G55540
S0662 	0.023	11	6848, 6977, 4992, 6318, 1G57770, 2G04270, 2G34960, 2G40840, 4G09140, 4G15420, 5G63420
S0664 	0.05726	6	5339, 6969, 5034, 3G02260, 3G19180, 3G43300
S0667 	0.03873	3	1G01770, 5G40405, 5G51200
S0669 	0.01733	7	5335, 1G55250, 3G10030, 4G04350, 4G15420, 5G22750, 5G47040
S0670 	0.02944	3	1G57770, 2G46890, 3G10380
S0671 	0.06959	0	
S0672 	0.04719	1	
S0673 	0.00833	18	7371, 6487, 5326, 6270, 5918, 5943, 5528, 1G06270, 1G15980, 1G49820, 1G51550, 1G66830, 2G32590, 2G42490, 3G06270, 3G16270, 3G57180, 5G52280
S0677 	0.03723	25	6384, 5664, 5770, 4471, 6050, 4954, 6270, 6550, 5430, 5531, 1G06270, 1G06440, 1G06590, 3G06270, 3G06810, 3G16270, 3G25430, 4G01730, 4G04350, 5G13630, 5G23340, 5G49070, 5G63770, 5G63840, 5G65500
S0688 	0.01325	35	5348, 7141, 5339, 7279, 6034, 6864, 6639, 6265, 7028, 6226, 6098, 6320, 5354, 6636, 5257, 1G06560, 1G27460, 1G51550, 1G55590, 1G79150, 2G40770, 2G41670, 3G16290, 3G19810, 3G27820, 4G03220, 4G27640, 4G30720, 5G06940, 5G18525, 5G36890, 5G49070, 5G51750, 5G52850, 5G60980
S0689 	0.02365	17	6384, 5427, 5840, 6041, 5865, 6685, 1G49040, 1G57770, 1G65840, 3G04340, 3G22980, 3G49400, 4G09750, 5G40480, 5G47040, 5G50210, 5G63920
S0690 	0.01028	45	7602, 5404, 6393, 6864, 6050, 4954, 5460, 6258, 6164, 6825, 7583, 6785, 6004, 6226, 6977, 6130, 6282, 6557, 5857, 5257, 1G02860, 1G06440, 1G06950, 1G09010, 1G31360, 1G49040, 1G50200, 1G60490, 2G21470, 2G30520, 2G38510, 3G03210, 3G16910, 4G00450, 4G20050, 4G24220, 4G24740, 5G03070, 5G08030, 5G13690, 5G15880, 5G18670, 5G22330, 5G35560, 5G49830
S0691 	0.08233	4	1G03090, 3G01460, 5G46100, 5G47040
S0717 	0.03579	0	
S0718 	0.04126	2	7361, 2G31740
S0720 	0.01625	12	6041, 6961, 6507, 3G04740, 3G06530, 4G21770, 4G24610, 4G34310, 4G39850, 5G40480, 5G49030, 5G58510
S0721sl 	0.03219	5	5280, 4989, 3G04480, 3G08670, 5G19130
S0722 	0.01809	20	6995, 6384, 7572, 6056, 5841, 6732, 6538, 6448, 1G01770, 1G60560, 1G65380, 1G68740, 2G15695, 4G23940, 4G36790, 5G05200, 5G22800, 5G40405, 5G40480, 5G63840
S0724sl 	0.03325	9	6978, 6048, 5018, 2G38500, 3G47400, 4G24790, 4G30790, 5G53480, 5G58410
S0726 	0.03489	13	6041, 6732, 4992, 6969, 6924, 6454, 5866, 1G30010, 3G02260, 3G16290, 3G43300, 3G62130, 5G05840
S0727 	0.04892	0	
S0728sl 	0.01597	4	5513, 5974, 6791, 1G04730
S0731sl 	0.02199	12	6384, 6226, 6029, 5866, 2G16880, 2G25660, 3G10030, 3G43240, 3G62130, 4G15420, 4G21770, 5G55540
S0732 	0.03888	6	6164, 6531, 6746, 6717, 1G19025, 5G63420
S0733sl 	0.02952	4	5926, 1G05910, 2G41700, 5G63920
S0735 	0.00917	29	5366, 6639, 6363, 5421, 7325, 6405, 6098, 6320, 7021, 6913, 6064, 2G34640, 2G40840, 2G43420, 3G09090, 3G16290, 3G22170, 4G00550, 4G02260, 4G08920, 4G20090, 5G03070, 5G06940, 5G12900, 5G18670, 5G37830, 5G50170, 5G60980, 5G63410
S0739 	0.02647	23	5280, 5064, 7279, 6864, 5460, 6363, 5513, 5398, 5531, 5949, 6947, 1G19025, 2G32900, 2G37320, 3G01060, 3G06530, 3G19970, 3G26700, 3G56370, 4G23540, 5G13030, 5G38530, 5G58750
S0740 	0.06186	7	6791, 1G07590, 1G52520, 2G25800, 2G37320, 3G19970, 5G22510
S0741 	0.01221	4	6303, 7194, 5866, 5G13690
S0742 	0.00652	25	5168, 6532, 5177, 6176, 5913, 6216, 6150, 6026, 5941, 6139, 6378, 7024, 6977, 5865, 4992, 5355, 6379, 6797, 1G65320, 2G26690, 3G16150, 3G27670, 3G51490, 4G21680, 5G54690
S0743 	0.01786	13	7602, 5339, 6216, 5264, 6128, 6378, 6457, 5034, 6924, 2G34960, 3G22980, 3G43300, 5G65950
S0745 	0.03323	19	6978, 5921, 5421, 6226, 5858, 1G10330, 1G16720, 1G67550, 2G36840, 2G37370, 2G39620, 4G14940, 5G13420, 5G22850, 5G23060, 5G40820, 5G54570, 5G56730, 5G61400
S0746 	0.02768	10	6552, 1G74680, 2G34640, 2G35500, 2G37320, 3G47400, 4G04350, 4G30720, 5G11330, 5G45780
S0747sl 	0.03204	9	7371, 5531, 6854, 1G72500, 3G10030, 3G14910, 4G21770, 5G40405, 5G47040
S0748 	0.01332	23	6978, 5273, 7363, 6298, 5849, 6405, 6029, 7333, 6572, 1G65380, 1G73960, 3G19210, 3G23020, 4G03260, 4G16340, 4G30790, 5G22800, 5G24810, 5G35560, 5G53480, 5G58410, 5G60020, 5G63920
S0751 	0.05416	1	
S0752 	0.04776	9	5339, 7111, 7583, 6282, 5926, 6797, 3G16910, 4G04350, 5G40405
S0753 	0.02252	9	6620, 5162, 6447, 6685, 1G70820, 4G16340, 4G30490, 5G05200, 5G60600
S0754 	0.02892	0	
S0756 	0.01157	34	5770, 6176, 5131, 5639, 6893, 6496, 5821, 5941, 6565, 5699, 4992, 5968, 1G03100, 1G04690, 1G06950, 1G16770, 1G68930, 2G40770, 3G03380, 3G08760, 3G11540, 3G11964, 3G14910, 3G23020, 4G00910, 4G20050, 4G20850, 4G34350, 5G08415, 5G40440, 5G50210, 5G51070, 5G58020, 5G65950
S0757 	0.04515	0	
S0758 	0.02805	30	5200, 7141, 5910, 6238, 5945, 6303, 5644, 5634, 6198, 5859, 6282, 5968, 7128, 1G05910, 1G06260, 1G51550, 1G55910, 1G75200, 1G79560, 2G32590, 2G37320, 2G42850, 3G04740, 3G54860, 4G29310, 5G05200, 5G44370, 5G47690, 5G51340, 5G52280
S0760 	0.01239	5	6405, 7029, 1G12470, 3G01460, 5G53000
S0762-2 	0.03558	5	6216, 6298, 5398, 6572, 3G15380
S0763 	0.00871	34	4471, 5339, 6526, 6404, 5347, 5922, 5642, 6533, 6462, 6282, 7021, 5977, 5940, 5528, 6924, 7361, 6507, 7296, 1G06440, 2G30520, 3G05350, 3G23020, 3G51490, 3G55070, 3G62130, 4G00550, 4G02780, 5G15400, 5G18670, 5G35560, 5G40480, 5G51070, 5G55540, 5G60600
S0764 	0.02626	22	5366, 6946, 5206, 5273, 5339, 7363, 6216, 5299, 7013, 6488, 6448, 6318, 1G07590, 1G55590, 2G26170, 4G33760, 5G10900, 5G14210, 5G20990, 5G40820, 5G46580, 5G54180
S0765 	0.00525	16	5599, 6114, 6378, 5449, 6462, 7029, 6685, 6791, 6717, 5866, 3G01460, 3G02570, 4G26090, 5G13020, 5G22030, 5G58410
S0766 	0.0597	8	6034, 4724, 1G02400, 1G04690, 1G04730, 1G63160, 3G27870, 3G57610
S0768 	0.01615	8	6660, 5528, 6383, 6454, 4G21350, 5G06970, 5G50210, 5G65990
S0770 	0.01069	9	6299, 7029, 5406, 6572, 1G60490, 2G31970, 4G20050, 4G20060, 5G25230
