"Library_ID", "tribe", "genus", "species", "Library_ID2", "sample_in_inclusive_dataset", "sample_in_strict_dataset", "sample_in_superstrict_dataset", "sample_in_superstrict_by_tribe_dataset", "sample_in_ASTRAL_Pro_dataset", "tree_IQ_TREE_supermatrix_concordance_factors", "sample_in_chloroplast_dataset", "collection", "collection_number", "collection_date", "trait_state", "ASTRAL_taxon_occupancy_inclusive", "ASTRAL_taxon_occupancy_strict", "ASTRAL_taxon_occupancy_superstrict", "ASTRAL_taxon_occupancy_superstrict_by_tribe", "ASTRAL_Pro_taxon_occupancy", "type_specimen", "genus_type_species", "calibration", "old_sample", "species_genus_type", "not_species_genus_type", "allele_divergence", "locus_heterozygosity", "nloci", "HybPhaser_bp", "Lineages_Koch_Al_Shehbaz", "Lineages_Franzke_et_al", "Lineages_Nikolov_et_al", "Lineages_unplaced"
"S0300", "Physarieae", "Lyrocarpa", "Lyrocarpa coulteri", "S0300", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "Ross 7045", "1993", "WT", "908", "910", "239", "221", "5507", "", "Y", "", "", "Lyrocarpa coulteri", "", 3.582, 97.88, 942, 1062858, "I", "I", "I", ""
"S0764", "Physarieae", "Nerisyrenia", "Nerisyrenia linearifolia", "S0764", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "8000471", "", "S", "982", "974", "280", "173", "5882", "", "", "", "", "", "Nerisyrenia linearifolia", 1.473, 86.03, 959, 1107282, "I", "I", "I", ""
"S1381", "Arabidopsideae trib. nov.", "Arabidopsis", "Arabidopsis halleri", "S1381", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "WAG.1739932", "1853", "A", "1002", "1001", "292", "145", "5910", "", "", "", "Y", "", "Arabidopsis halleri", 0.535, 70.22, 994, 1123200, "I", "I", "I", ""
"S1211", "Arabidopsideae trib. nov.", "Arabidopsis", "Arabidopsis thaliana", "S1211", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "L.1832016", "1914", "CT", "999", "993", "287", "485", "5883", "", "Y", "Y", "", "Arabidopsis thaliana", "", 0.043, 14.05, 1032, 1130118, "I", "I", "I", ""
"S0055", "Erysimeae", "Erysimum", "Erysimum cheiranthoides", "S0055", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "L.4259397", "2011", "T", "997", "994", "286", "254", "5856", "", "Y", "", "", "Erysimum cheiranthoides", "", 0.217, 44.78, 996, 1129920, "I", "I", "I", ""
"S1375", "Malcolmieae", "Malcolmia", "Malcolmia maritima", "S1375", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "L.1828371", "1928", "T", "1013", "1010", "294", "656", "5958", "", "Y", "", "", "Malcolmia maritima", "", 0.995, 71.58, 1017, 1125492, "I", "I", "I", ""
"SRR8528359", "Yinshanieae", "Yinshania", "Yinshania acutangula subsp. acutangula", "SRR8528359", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "719", "727", "201", "434", "4598", "", "Y", "", "", "Yinshania acutangula subsp. acutangula", "", 0.052, 23.62, 741, 916848, "I", "I", "I", ""
"S0689", "Smelowskieae", "Smelowskia", "Smelowskia alba", "S0689", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "18001", "2006", "T", "934", "938", "263", "71", "5478", "", "Y", "", "", "Smelowskia alba", "", 0.702, 82.47, 924, 1084656, "I", "I", "I", ""
"S0762-2", "Descurainieae", "Tropidocarpum", "Tropidocarpum gracile", "S0762-2", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "8000435", "", "T", "999", "993", "288", "254", "5938", "", "Y", "", "", "Tropidocarpum gracile", "", 1.996, 98.43, 1019, 1086567, "I", "I", "I", ""
"S0558", "Descurainieae", "Hornungia", "Hornungia petraea", "S0558", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "WAG.8003379", "2008", "T", "1003", "992", "287", "526", "6010", "", "Y", "", "", "Hornungia petraea", "", 0.033, 15.65, 1029, 1131447, "I", "I", "I", ""
"S0412sl", "Descurainieae", "Ianhedgea", "Ianhedgea minutiflora", "S0412sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "5736813", "2002", "T", "974", "960", "279", "499", "5731", "", "Y", "", "", "Ianhedgea minutiflora", "", 0.316, 66.25, 966, 1007868, "I", "I", "I", ""
"S1407", "Descurainieae", "Descurainia", "Descurainia sophia", "S1407", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "WAG.1750597", "2006", "T", "978", "973", "280", "813", "5914", "", "Y", "", "", "Descurainia sophia", "", 4.05, 100, 1024, 974628, "I", "I", "I", ""
"S0742", "Descurainieae", "Robeschia", "Robeschia schimperi", "S0742", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "8000390", "", "T", "982", "979", "283", "247", "5707", "", "Y", "", "", "Robeschia schimperi", "", 0.106, 50.67, 975, 1109106, "I", "I", "I", ""
"S0751", "Lepidieae", "Delpinophytum", "Delpinophytum patagonicum", "S0751", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "8000248", "", "WT", "905", "903", "255", "225", "6300", "", "Y", "", "", "Delpinophytum patagonicum", "", 7.432, 97.35, 981, 1025874, "I", "I", "I", ""
"S0591", "Lepidieae", "Lepidium", "Lepidium latifolium", "S0591", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "WAG.8001002", "2015", "T", "906", "903", "246", "481", "4919", "", "Y", "", "", "Lepidium latifolium", "", 1.726, 97.54, 896, 1073634, "I", "I", "I", ""
"S1561", "Lepidieae", "Lepidium", "Lepidium arbuscula", "S1561", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "3297605", "1994", "CW", "974", "961", "270", "657", "5393", "", "", "Y", "", "", "Lepidium arbuscula", 4.904, 95.48, 1040, 1024143, "I", "I", "I", ""
"S0547", "Lepidieae", "Lepidium", "Lepidium virginicum", "S0547", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "WAG.8003906", "2005", "C", "924", "912", "255", "481", "5319", "", "", "Y", "", "", "Lepidium virginicum", 4.086, 96.19, 971, 1024086, "I", "I", "I", ""
