Library_ID,Tribe,Genus,Species,Name,Lineages_Koch_Al_Shehbaz,Lineages_Franzke_et_al,Lineages_Nikolov_et_al,[<institution-code>],Subsp_or_var,Registered as,[<collection-code>],biomaterial_provider,voucher,Collection_date,Collection_year,Collector,Identifier,Country,Location,Link to online reference,Type status
S0604,Descurainieae,Descurainia,gonzalezii,Descurainia gonzalezii,I,I,I,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.3767726,29721,1981,F. Hekker,F.M. Muller,Tenerife,,,
S1308,Descurainieae,Descurainia,gonzalezii,Descurainia gonzalezii,I,I,I,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1750645,24953,1968,J.H. Vredebregt,T.H.J. Damen,Spain,"Canary Islands, Tenerife, Los Azulejos, Parador",https://www.gbif.org/occurrence/2517844822,
S0705,Descurainieae,Descurainia,lemsii,Descurainia lemsii,I,I,I,JBCVC,,,,Ruth Jaen Molina,6374,??/??/2012,2012,"Á. Marrero, J. Caujapé",,Spain,"Barranco de Badajoz, Güímar, Tenerife",,
S1495,Descurainieae,Descurainia,lemsii,Descurainia lemsii,I,I,I,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1750647,24951,1968,J.H. Vredebregt,T.H.J. Damem,Spain,"Tenerife, on the border of the Masca area, across the ridge O Santiago",https://www.gbif.org/occurrence/2515948134,
S1559,Descurainieae,Descurainia,lemsii,Descurainia lemsii,I,I,I,JBCVC,,,,Ruth Jaen Molina,6366,??/??/2012,2012,"Á. Marrero, J. Caujapé",,Spain,"Barranco de Badajoz, Güímar, Tenerife",,
S0598,Descurainieae,Descurainia,millefolia,Descurainia millefolia,I,I,I,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.3767701,24487,1967,F. Hekker,F.M. Muller,Tenerife,,,
S0704,Descurainieae,Descurainia,preauxiana,Descurainia preauxiana,I,I,I,JBCVC,,,,Ruth Jaen Molina,14505,??/??/2014,2014,"J. Caujapé, J. Cruz",,Spain,"Cortadores, Tauro, Lo Solana, Tenerife",,
S1362,Erysimeae,Erysimum,arbuscula,Erysimum arbuscula,I,I,I,W,,,,"Christian Bräuchler, Heimo Rainer",W0112429,??/??/2008,2008,unknown,,unknown,,,
MK637711,Erysimeae,Erysimum,bicolor,Erysimum bicolor,,,I,,,,,,,,,,,,,,
S0607,Erysimeae,Erysimum,bicolor,Erysimum bicolor,I,I,I,RMNH,,,,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.3767731,30773,1984,F. Hekker,unknown,El Hiero,,,
S0983,Erysimeae,Erysimum,caboverdeanum,Erysimum caboverdeanum,I,I,I,FR,,,,Heike Kappes,FR-0133594,34742,1995,T.Leyens,T. Leyens,Cape Verde Islands,,,
S0983-2,Erysimeae,Erysimum,caboverdeanum,Erysimum caboverdeanum,I,I,I,FR,,,,Heike Kappes,FR-0133594,34742,1995,T.Leyens,T. Leyens,Cape Verde Islands,,,
